Plot,Plant,Date,Flower height,Leaf height,BD,AB,FF,SG,SD,ST,notes,Date,Flower height,Leaf height,BD,AB,FF,SG,SD,ST,notes,Date,Flower height,Leaf height,BD,AB,FF,SG,SD,ST,notes,Date,Flower height,Leaf height,BD,AB,FF,SG,SD,ST,notes,Date,Flower height,Leaf height,BD,AB,FF,SG,SD,ST,notes,Date,Flower height,Leaf height,BD,AB,FF,SG,SD,ST,notes,Date,Flower height,Leaf height,BD,AB,FF,SG,SD,ST,notes,Date,Flower height,Leaf height,BD,AB,FF,SG,SD,ST,notes,Date,Flower height,Leaf height,BD,AB,FF,SG,SD,ST,notes,Date,Flower height,Leaf height,BD,AB,FF,SG,SD,ST,notes,Date,Flower height,Leaf height,BD,AB,FF,SG,SD,ST,notes,Date,Flower height,Leaf height,BD,AB,FF,SG,SD,ST,notes,Date,Flower height,Leaf height,BD,AB,FF,SG,SD,ST,notes,Date,Flower height,Leaf height,BD,AB,FF,SG,SD,ST,notes,Date,Flower height,Leaf height,BD,AB,FF,SG,SD,ST,notes,Date,Flower height,Leaf height,BD,AB,FF,SG,SD,ST,notes
ESR(2),1,5/24/2015,15,28,1,,,,,,,5/26/2015,16,28,2,,,,,,,5/29/2015,14,34,1,,,,,,,6/1/2015,15,38,,1,,,,,,6/3/2015,15,38,,1,,,,,,6/5/2015,15,41,,2,,,,,,6/7/2015,10,40,,2,,,,,,6/9/2015,,41,,,,,,,,6/11/2015,,38,,,,,,,,6/13/2015,7,40,,2,,,,,,6/15/2015,6,40,,2,,,,,,6/17/2015,7,40,,2,,,,,some of the balsamroot leaves are starting to brown and die - very early in the season,6/19/2015,5,41,,1,,,,,,6/21/2015,5,39,,2,,,,,,6/23/2015,4,39,,2,,,,,,6/26/2015,3,38,,1,,,,,
ESR(2),2,5/24/2015,20,20,6,,,,,,,5/26/2015,23,25,5,,,,,,,5/29/2015,27,30,5,2,,,,,,6/1/2015,30,31,3,3,,,,,,6/3/2015,33,34,2,4,1,,,,,6/5/2015,36,36,2,4,1,,,,,6/7/2015,35,35,,4,2,,,,,6/9/2015,45,38,,2,3,,,,,6/11/2015,45,38,,3,3,,,,,6/13/2015,46,38,,,2,1,,,,6/15/2015,51,37,,4,2,1,,,,6/17/2015,53,37,,,,3,,,,6/19/2015,51,38,,1,,3,,,,6/21/2015,52,37,,4,,1,2,,,6/23/2015,52,39,,5,,2,1,,,6/26/2015,51,37,,3,,,3,,
ESR(2),3,5/24/2015,12,19,,4,,,,,,5/26/2015,14,24,,7,,,,,,5/29/2015,10,35,,3,,,,,,6/1/2015,17,36,,6,,,,,,6/3/2015,16,34,,7,,,,,,6/5/2015,16,40,,8,,,,,,6/7/2015,17,42,,7,,,,1,stalk only was an aborted bud,6/9/2015,15,44,,6,,,,,,6/11/2015,16,45,,5,,,,,,6/13/2015,15,48,,4,,,,,,6/15/2015,12,47,,6,,,,,,6/17/2015,11,47,,4,,,,,,6/19/2015,10,48,,4,,,,,,6/21/2015,10,48,,2,,,,,,6/23/2015,7,48,,2,,,,,,6/26/2015,9,47,,3,,,,,
ESR(2),4,5/24/2015,20,28,2,10,,,,,,5/26/2015,25,30,2,9,,,,,,5/29/2015,27,30,2,11,,,,,,6/1/2015,35,35,2,13,1,,,,,6/3/2015,39,40,2,12,1,,,,,6/5/2015,47,42,1,12,2,,,,,6/7/2015,52,43,1,13,2,,,,,6/9/2015,54,47,,10,3,,,,,6/11/2015,59,47,,9,3,,,,,6/13/2015,61,47,,7,1,2,,,,6/15/2015,64,50,,10,,3,,,,6/17/2015,66,49,,10,,,3,,,6/19/2015,65,49,,9,,,3,,,6/21/2015,64,49,,10,,,3,,,6/23/2015,64,48,,10,,2,1,,,6/26/2015,63,50,,10,,,3,,
ESR(2),5,5/24/2015,,,,,,,,,,5/26/2015,,,,,,,,,dead,5/29/2015,,,,,,,,,,6/1/2015,,,,,,,,,,6/3/2015,,,,,,,,,,6/5/2015,,,,,,,,,,6/7/2015,,,,,,,,,dead,6/9/2015,,,,,,,,,,6/11/2015,,,,,,,,,,6/13/2015,,,,,,,,,,6/15/2015,,,,,,,,,,6/17/2015,,,,,,,,,,6/19/2015,,,,,,,,,,6/21/2015,,,,,,,,,,6/23/2015,,,,,,,,,,6/26/2015,,,,,,,,,
ESR(2),6,5/24/2015,25,26,2,,,,,,,5/26/2015,30,32,3,,,,,,,5/29/2015,35,34,3,,,,,,,6/1/2015,42,37,3,,,,,,,6/3/2015,40,37,3,,1,,,,,6/5/2015,44,39,2,,2,,,,,6/7/2015,45,42,2,,2,,,,,6/9/2015,51,43,1,,2,,,,,6/11/2015,53,45,1,,3,,,,,6/13/2015,60,45,,,1,2,,,,6/15/2015,63,44,,,1,2,,,,6/17/2015,65,44,,,,1,2,,,6/19/2015,67,46,,,,1,2,,,6/21/2015,69,46,,,,1,2,,,6/23/2015,67,45,,,,1,2,,,6/26/2015,68,46,,,,,3,,
ESR(2),7,5/24/2015,,,,,,,,,,5/26/2015,,,,,,,,,,5/29/2015,,,,,,,,,,6/1/2015,,,,,,,,,,6/3/2015,,,,,,,,,,6/5/2015,,,,,,,,,,6/7/2015,,,,,,,,,dead,6/9/2015,,,,,,,,,,6/11/2015,,,,,,,,,,6/13/2015,,,,,,,,,,6/15/2015,,,,,,,,,,6/17/2015,,,,,,,,,,6/19/2015,,,,,,,,,,6/21/2015,,,,,,,,,,6/23/2015,,,,,,,,,,6/26/2015,,,,,,,,,
ESR(2),8,5/24/2015,31,28,6,,,,,,,5/26/2015,36,28,12,,1,,,,,5/29/2015,33,30,14,,1,,,,,6/1/2015,42,37,10,1,3,,,,,6/3/2015,48,43,10,2,3,,,,,6/5/2015,54,41,6,1,5,,,,,6/7/2015,43,41,7,3,6,,,,,6/9/2015,56,44,4,2,8,1,,,,6/11/2015,61,47,1,3,7,2,,,,6/13/2015,66,48,1,3,4,4,1,,,6/15/2015,69,48,,4,3,6,2,,,6/17/2015,71,47,,4,3,1,6,,,6/19/2015,67,50,,3,2,2,7,,,6/21/2015,67,49,,3,,3,9,,,6/23/2015,69,46,,3,,3,8,,,6/26/2015,70,48,,3,,,11,,
ESR(2),9,5/24/2015,,17,,,,,,,,5/26/2015,,21,,,,,,,,5/29/2015,,23,,,,,,,,6/1/2015,,27,,,,,,,,6/3/2015,,30,,,,,,,,6/5/2015,,32,,,,,,,,6/7/2015,,29,,,,,,,,6/9/2015,,32,,,,,,,,6/11/2015,,31,,,,,,,,6/13/2015,,33,,,,,,,,6/15/2015,,30,,,,,,,,6/17/2015,,30,,,,,,,,6/19/2015,,30,,,,,,,,6/21/2015,,32,,,,,,,,6/23/2015,,30,,,,,,,,6/26/2015,,30,,,,,,,
ESR(2),10,5/24/2015,,26,,,,,,,,5/26/2015,,21,,,,,,,,5/29/2015,,28,,,,,,,,6/1/2015,,27,,,,,,,,6/3/2015,,31,,,,,,,,6/5/2015,,32,,,,,,,,6/7/2015,,29,,,,,,,,6/9/2015,,32,,,,,,,,6/11/2015,,30,,,,,,,,6/13/2015,,30,,,,,,,,6/15/2015,,29,,,,,,,,6/17/2015,,28,,,,,,,,6/19/2015,,29,,,,,,,,6/21/2015,,30,,,,,,,,6/23/2015,,32,,,,,,,,6/26/2015,,31,,,,,,,
ESR(2),11,5/24/2015,,28,,,,,,,,5/26/2015,,26,,,,,,,,5/29/2015,,37,,,,,,,,6/1/2015,,33,,,,,,,,6/3/2015,,34,,,,,,,,6/5/2015,,38,,,,,,,,6/7/2015,,39,,,,,,,,6/9/2015,,42,,,,,,,,6/11/2015,,41,,,,,,,,6/13/2015,,40,,,,,,,,6/15/2015,,40,,,,,,,,6/17/2015,,39,,,,,,,,6/19/2015,,40,,,,,,,,6/21/2015,,40,,,,,,,,6/23/2015,,39,,,,,,,,6/26/2015,,40,,,,,,,
ESR(2),12,5/24/2015,,8,,,,,,,,5/26/2015,,9,,,,,,,,5/29/2015,,9,,,,,,,,6/1/2015,,9,,,,,,,,6/3/2015,,9,,,,,,,,6/5/2015,,10,,,,,,,,6/7/2015,,9,,,,,,,,6/9/2015,,10,,,,,,,,6/11/2015,,10,,,,,,,,6/13/2015,,10,,,,,,,,6/15/2015,,10,,,,,,,,6/17/2015,,10,,,,,,,,6/19/2015,,10,,,,,,,,6/21/2015,,10,,,,,,,,6/23/2015,,9,,,,,,,,6/26/2015,,8,,,,,,,Almost completely dried up
ESR(2),13,5/24/2015,,11,,,,,,,,5/26/2015,,11,,,,,,,,5/29/2015,,12,,,,,,,,6/1/2015,,13,,,,,,,,6/3/2015,,13,,,,,,,,6/5/2015,,13,,,,,,,,6/7/2015,,13,,,,,,,,6/9/2015,,13,,,,,,,,6/11/2015,,14,,,,,,,,6/13/2015,,13,,,,,,,,6/15/2015,,14,,,,,,,,6/17/2015,,14,,,,,,,,6/19/2015,,14,,,,,,,,6/21/2015,,14,,,,,,,,6/23/2015,,14,,,,,,,,6/26/2015,,13,,,,,,,
ESR(2),14,5/24/2015,,9,,,,,,,,5/26/2015,,8,,,,,,,,5/29/2015,,10,,,,,,,,6/1/2015,,10,,,,,,,,6/3/2015,,11,,,,,,,,6/5/2015,,12,,,,,,,,6/7/2015,,11,,,,,,,,6/9/2015,,11,,,,,,,,6/11/2015,,10,,,,,,,,6/13/2015,,12,,,,,,,,6/15/2015,,11,,,,,,,,6/17/2015,,11,,,,,,,,6/19/2015,,11,,,,,,,,6/21/2015,,11,,,,,,,,6/23/2015,,12,,,,,,,,6/26/2015,,12,,,,,,,
EHSR(1),1,5/24/2015,,36,,,,,,,,5/26/2015,,43,,,,,,,,5/29/2015,,42,,,,,,,,6/1/2015,,48,,,,,,,,6/3/2015,,51,,,,,,,,6/5/2015,,55,,,,,,,,6/7/2015,,55,,,,,,,,6/9/2015,,63,,,,,,,,6/11/2015,,57,,,,,,,,6/13/2015,,54,,,,,,,,6/15/2015,,56,,,,,,,,6/17/2015,,55,,,,,,,,6/19/2015,,56,,,,,,,,6/21/2015,,54,,,,,,,,6/23/2015,,54,,,,,,,,6/26/2015,,50,,,,,,,
EHSR(1),2,5/24/2015,31,27,8,,1,,,,,5/26/2015,35,30,8,,,,,,,5/29/2015,37,32,5,,4,,,,,6/1/2015,44,37,2,2,4,,,,,6/3/2015,47,38,2,2,5,,,,,6/5/2015,48,40,1,2,5,1,,,,6/7/2015,51,39,1,2,5,1,,,,6/9/2015,55,39,,2,3,2,2,,,6/11/2015,53,40,,2,3,3,1,,,6/13/2015,62,42,,1,,3,4,,,6/15/2015,64,40,,1,,2,5,,,6/17/2015,66,40,,,,,7,,,6/19/2015,66,41,,1,,,7,,,6/21/2015,67,41,,,,,7,,,6/23/2015,66,41,,1,,,7,,,6/26/2015,66,40,,1,,,7,,
EHSR(1),3,5/24/2015,,22,,,,,,,,5/26/2015,,24,,,,,,,,5/29/2015,,25,,,,,,,,6/1/2015,,30,,,,,,,,6/3/2015,,32,,,,,,,,6/5/2015,,33,,,,,,,,6/7/2015,,34,,,,,,,,6/9/2015,,33,,,,,,,,6/11/2015,,33,,,,,,,,6/13/2015,,33,,,,,,,,6/15/2015,,33,,,,,,,,6/17/2015,,35,,,,,,,,6/19/2015,,33,,,,,,,,6/21/2015,,33,,,,,,,,6/23/2015,,32,,,,,,,,6/26/2015,,33,,,,,,,
EHSR(1),4,5/24/2015,10,31,,1,,,,,,5/26/2015,10,33,,1,,,,,,5/29/2015,9,33,,1,,,,,,6/1/2015,,37,,,,,,,,6/3/2015,,38,,,,,,,,6/5/2015,,42,,,,,,,,6/7/2015,,42,,,,,,,,6/9/2015,,42,,,,,,,,6/11/2015,,42,,,,,,,,6/13/2015,,42,,,,,,,,6/15/2015,,40,,,,,,,,6/17/2015,,41,,,,,,,,6/19/2015,,38,,,,,,,,6/21/2015,,40,,,,,,,,6/23/2015,,38,,,,,,,,6/26/2015,,34,,,,,,,
EHSR(1),5,5/24/2015,,20,,,,,,,,5/26/2015,,25,,,,,,,,5/29/2015,,27,,,,,,,,6/1/2015,,30,,,,,,,,6/3/2015,,33,,,,,,,,6/5/2015,,33,,,,,,,,6/7/2015,,34,,,,,,,,6/9/2015,,33,,,,,,,,6/11/2015,,32,,,,,,,,6/13/2015,,32,,,,,,,,6/15/2015,,32,,,,,,,,6/17/2015,,33,,,,,,,,6/19/2015,,33,,,,,,,,6/21/2015,,33,,,,,,,,6/23/2015,,32,,,,,,,,6/26/2015,,33,,,,,,,
EHSR(1),6,5/24/2015,,17,,,,,,,,5/26/2015,,16,,,,,,,,5/29/2015,,20,,,,,,,,6/1/2015,,21,,,,,,,,6/3/2015,,22,,,,,,,,6/5/2015,,21,,,,,,,,6/7/2015,,21,,,,,,,,6/9/2015,,22,,,,,,,,6/11/2015,,21,,,,,,,,6/13/2015,,21,,,,,,,,6/15/2015,,20,,,,,,,,6/17/2015,,22,,,,,,,,6/19/2015,,21,,,,,,,,6/21/2015,,20,,,,,,,,6/23/2015,,19,,,,,,,,6/26/2015,,18,,,,,,,
EHSR(1),7,5/24/2015,,10,,,,,,,,5/26/2015,,11,,,,,,,,5/29/2015,,9,,,,,,,,6/1/2015,,10,,,,,,,,6/3/2015,,9,,,,,,,,6/5/2015,,8,,,,,,,,6/7/2015,,10,,,,,,,,6/9/2015,,10,,,,,,,,6/11/2015,,11,,,,,,,,6/13/2015,,10,,,,,,,,6/15/2015,,9,,,,,,,,6/17/2015,,10,,,,,,,,6/19/2015,,9,,,,,,,,6/21/2015,,9,,,,,,,,6/23/2015,,10,,,,,,,,6/26/2015,,9,,,,,,,
EH(4),1,5/24/2015,,,,,,,,,,5/26/2015,,,,,,,,,dead,5/29/2015,,,,,,,,,,6/1/2015,,,,,,,,,,6/3/2015,,,,,,,,,,6/5/2015,,,,,,,,,,6/7/2015,,,,,,,,,,6/9/2015,,,,,,,,,,6/11/2015,,,,,,,,,,6/13/2015,,,,,,,,,,6/15/2015,,,,,,,,,,6/17/2015,,,,,,,,,,6/19/2015,,,,,,,,,,6/21/2015,,,,,,,,,,6/23/2015,,,,,,,,,,6/26/2015,,,,,,,,,
EH(4),2,5/24/2015,,,,,,,,,,5/26/2015,,,,,,,,,dead,5/29/2015,,,,,,,,,,6/1/2015,,,,,,,,,,6/3/2015,,,,,,,,,,6/5/2015,,,,,,,,,,6/7/2015,,,,,,,,,,6/9/2015,,,,,,,,,,6/11/2015,,,,,,,,,,6/13/2015,,,,,,,,,,6/15/2015,,,,,,,,,,6/17/2015,,,,,,,,,,6/19/2015,,,,,,,,,,6/21/2015,,,,,,,,,,6/23/2015,,,,,,,,,,6/26/2015,,,,,,,,,
EH(4),3,5/24/2015,21,29,2,,,,,,,5/26/2015,24,31,2,,,,,,,5/29/2015,27,30,3,,,,,,,6/1/2015,32,38,2,,,,,,,6/3/2015,33,41,3,,,,,,,6/5/2015,35,42,2,,1,,,,,6/7/2015,37,42,1,,2,,,,,6/9/2015,41,43,1,,2,,,,,6/11/2015,43,43,1,,2,,,,,6/13/2015,47,43,,,3,,,,,6/15/2015,48,43,,,2,1,,,,6/17/2015,51,43,,,,2,1,,,6/19/2015,48,44,,,,2,1,,,6/21/2015,50,43,,,,2,1,,,6/23/2015,52,43,,,,2,1,,,6/26/2015,52,43,,,,,3,,
EH(4),4,5/24/2015,14,37,1,,,,,,,5/26/2015,16,36,1,,,,,,,5/29/2015,18,42,1,,,,,,,6/1/2015,23,38,1,,,,,,,6/3/2015,27,40,2,,,,,,,6/5/2015,32,37,2,,,,,,,6/7/2015,32,39,2,,,,,,,6/9/2015,37,43,,,1,,,,,6/11/2015,37,39,,,1,,,,,6/13/2015,38,43,,,1,,,,,6/15/2015,42,40,,,1,,,,,6/17/2015,42,42,,,,1,,,,6/19/2015,42,38,,,,1,,,,6/21/2015,42,41,,,,,1,,,6/23/2015,41,40,,,,1,,,,6/26/2015,42,37,,,,,1,,
EH(4),5,5/24/2015,28,29,5,,,,,,,5/26/2015,34,35,3,,1,,,,,5/29/2015,27,34,5,,,,,,,6/1/2015,35,36,3,,1,,,,,6/3/2015,38,39,2,,3,,,,,6/5/2015,43,42,2,,3,,,,,6/7/2015,46,41,3,,2,1,,,,6/9/2015,47,42,2,,3,,1,,,6/11/2015,53,42,1,,3,1,,,,6/13/2015,55,41,1,,2,2,1,,,6/15/2015,58,41,,,1,2,2,,,6/17/2015,55,41,1,,1,1,3,,,6/19/2015,59,42,,,,1,4,,,6/21/2015,58,38,,,1,1,3,,,6/23/2015,60,41,,,1,2,3,,,6/26/2015,59,40,,,1,,5,,
EH(4),6,5/24/2015,16,28,2,,,,,,,5/26/2015,22,38,13,,,,,,,5/29/2015,25,32,9,,,,,,,6/1/2015,27,38,12,,2,,,,,6/3/2015,30,40,14,,3,,,,,6/5/2015,32,42,8,,6,,,,,6/7/2015,35,42,15,,5,,,,,6/9/2015,40,42,7,1,10,,,,,6/11/2015,42,44,3,,10,2,,,,6/13/2015,44,41,2,1,7,7,,,,6/15/2015,45,41,2,1,2,10,,,,6/17/2015,46,41,1,2,1,9,3,,,6/19/2015,48,40,,2,,6,7,,,6/21/2015,47,39,,2,,4,10,,,6/23/2015,48,39,1,2,,5,9,,,6/26/2015,46,39,,5,,,11,,
EH(4),7,5/24/2015,18,33,1,,,,,,,5/26/2015,,29,,,,,,,,5/29/2015,20,37,1,,,,,,,6/1/2015,30,34,1,,,,,,,6/3/2015,33,35,,,1,,,,,6/5/2015,36,39,,,1,,,,,6/7/2015,38,39,,,1,,,,,6/9/2015,40,43,,,1,,,,,6/11/2015,43,41,,,1,,,,,6/13/2015,45,39,,,1,,,,,6/15/2015,45,31,,,1,,,,,6/17/2015,48,37,,,,1,,,,6/19/2015,50,36,,,,1,,,,6/21/2015,49,37,,,,1,,,,6/23/2015,50,38,,,,1,,,,6/26/2015,51,37,,,,,1,,
EH(4),8,5/24/2015,,16,,,,,,,,5/26/2015,17,29,2,,,,,,,5/29/2015,24,29,3,,,,,,,6/1/2015,30,33,1,,1,,,,,6/3/2015,32,33,2,,1,,,,,6/5/2015,38,42,2,,1,,,,,6/7/2015,40,38,2,,2,,,,,6/9/2015,41,42,2,,2,,,,,6/11/2015,44,41,,,4,,,,,6/13/2015,42,41,,,3,1,,,,6/15/2015,47,40,,,3,1,,,,6/17/2015,50,39,,,1,3,,,,6/19/2015,49,39,,,,2,2,,,6/21/2015,48,38,,,,2,2,,,6/23/2015,49,37,,,,2,2,,,6/26/2015,49,37,,,,,3,,
EH(4),9,5/24/2015,,23,,,,,,,,5/26/2015,,28,,,,,,,,5/29/2015,,25,,,,,,,,6/1/2015,,32,,,,,,,,6/3/2015,,35,,,,,,,,6/5/2015,,35,,,,,,,,6/7/2015,,36,,,,,,,,6/9/2015,,35,,,,,,,,6/11/2015,,33,,,,,,,,6/13/2015,,31,,,,,,,,6/15/2015,,32,,,,,,,,6/17/2015,,32,,,,,,,,6/19/2015,,35,,,,,,,,6/21/2015,,33,,,,,,,,6/23/2015,,34,,,,,,,,6/26/2015,,34,,,,,,,
EH(4),10,5/24/2015,,29,,,,,,,,5/26/2015,,31,,,,,,,,5/29/2015,,30,,,,,,,,6/1/2015,,36,,,,,,,,6/3/2015,,36,,,,,,,,6/5/2015,,37,,,,,,,,6/7/2015,,37,,,,,,,,6/9/2015,,35,,,,,,,,6/11/2015,,38,,,,,,,,6/13/2015,,37,,,,,,,,6/15/2015,,37,,,,,,,,6/17/2015,,38,,,,,,,,6/19/2015,,40,,,,,,,,6/21/2015,,36,,,,,,,,6/23/2015,,36,,,,,,,,6/26/2015,,37,,,,,,,
EH(4),11,5/24/2015,,26,,,,,,,,5/26/2015,7,31,1,,,,,,,5/29/2015,7,28,1,,,,,,,6/1/2015,,34,,,,,,,,6/3/2015,5,32,,1,,,,,,6/5/2015,,33,,,,,,,,6/7/2015,,34,,,,,,,,6/9/2015,4,37,,1,,,,,,6/11/2015,4,34,,1,,,,,,6/13/2015,5,36,,1,,,,,,6/15/2015,4,35,,1,,,,,,6/17/2015,3,35,,1,,,,,,6/19/2015,4,36,,1,,,,,,6/21/2015,2,37,,1,,,,,,6/23/2015,3,36,,1,,,,,,6/26/2015,3,36,,1,,,,,
EH(4),12,5/24/2015,,18,,,,,,,,5/26/2015,,21,,,,,,,,5/29/2015,,22,,,,,,,,6/1/2015,,28,,,,,,,,6/3/2015,,27,,,,,,,,6/5/2015,,29,,,,,,,,6/7/2015,,33,,,,,,,,6/9/2015,,30,,,,,,,,6/11/2015,,29,,,,,,,,6/13/2015,,28,,,,,,,,6/15/2015,,29,,,,,,,,6/17/2015,,28,,,,,,,,6/19/2015,,30,,,,,,,,6/21/2015,,28,,,,,,,,6/23/2015,,30,,,,,,,,6/26/2015,,29,,,,,,,
EH(4),13,5/24/2015,,28,,,,,,,,5/26/2015,,27,,,,,,,,5/29/2015,,28,,,,,,,,6/1/2015,,35,,,,,,,,6/3/2015,,33,,,,,,,,6/5/2015,,32,,,,,,,,6/7/2015,,33,,,,,,,,6/9/2015,,33,,,,,,,,6/11/2015,,25,,,,,,,,6/13/2015,,35,,,,,,,,6/15/2015,,36,,,,,,,,6/17/2015,,36,,,,,,,,6/19/2015,,34,,,,,,,,6/21/2015,,33,,,,,,,,6/23/2015,,33,,,,,,,,6/26/2015,,32,,,,,,,
EH(4),14,5/24/2015,,26,,,,,,,,5/26/2015,,27,,,,,,,,5/29/2015,,24,,,,,,,,6/1/2015,,25,,,,,,,,6/3/2015,,25,,,,,,,,6/5/2015,,30,,,,,,,,6/7/2015,,28,,,,,,,,6/9/2015,,29,,,,,,,,6/11/2015,,28,,,,,,,,6/13/2015,,28,,,,,,,,6/15/2015,,28,,,,,,,,6/17/2015,,28,,,,,,,,6/19/2015,,28,,,,,,,,6/21/2015,,28,,,,,,,,6/23/2015,,28,,,,,,,,6/26/2015,,28,,,,,,,
EH(4),15,5/24/2015,,15,,,,,,,,5/26/2015,,15,,,,,,,,5/29/2015,,14,,,,,,,,6/1/2015,,14,,,,,,,,6/3/2015,,14,,,,,,,,6/5/2015,,14,,,,,,,,6/7/2015,,14,,,,,,,,6/9/2015,,14,,,,,,,,6/11/2015,,14,,,,,,,,6/13/2015,,14,,,,,,,,6/15/2015,,14,,,,,,,,6/17/2015,,14,,,,,,,,6/19/2015,,14,,,,,,,,6/21/2015,,14,,,,,,,,6/23/2015,,14,,,,,,,,6/26/2015,,13,,,,,,,
EH(4),16,5/24/2015,,17,,,,,,,,5/26/2015,,16,,,,,,,,5/29/2015,,12,,,,,,,,6/1/2015,,18,,,,,,,,6/3/2015,,18,,,,,,,,6/5/2015,,17,,,,,,,,6/7/2015,,18,,,,,,,,6/9/2015,,19,,,,,,,,6/11/2015,,18,,,,,,,,6/13/2015,,18,,,,,,,,6/15/2015,,18,,,,,,,,6/17/2015,,18,,,,,,,,6/19/2015,,17,,,,,,,,6/21/2015,,17,,,,,,,,6/23/2015,,17,,,,,,,,6/26/2015,,15,,,,,,,
