Plot,Plant,Date,Flower height,Leaf height,BD,AB,FF,SG,SD,ST,notes,Date,Flower height,Leaf height,BD,AB,FF,SG,SD,ST,notes,Date,Flower height,Leaf height,BD,AB,FF,SG,SD,ST,notes,Date,Flower height,Leaf height,BD,AB,FF,SG,SD,ST,notes,Date,Flower height,Leaf height,BD,AB,FF,SG,SD,ST,notes,Date,Flower height,Leaf height,BD,AB,FF,SG,SD,ST,notes,Date,Flower height,Leaf height,BD,AB,FF,SG,SD,ST,notes,Date,Flower height,Leaf height,BD,AB,FF,SG,SD,ST,notes,Date,Flower height,Leaf height,BD,AB,FF,SG,SD,ST,notes,Date,Flower height,Leaf height,BD,AB,FF,SG,SD,ST,notes,Date,Flower height,Leaf height,BD,AB,FF,SG,SD,ST,notes,Date,Flower height,Leaf height,BD,AB,FF,SG,SD,ST,notes,Date,Flower height,Leaf height,BD,AB,FF,SG,SD,ST,notes,Date,Flower height,Leaf height,BD,AB,FF,SG,SD,ST,notes,Date,Flower height,Leaf height,BD,AB,FF,SG,SD,ST,notes,Date,Flower height,Leaf height,BD,AB,FF,SG,SD,ST,notes
EH(4),17,5/24/2015,,19,,,,,,,,5/26/2015,,19,,,,,,,,5/29/2015,,16,,,,,,,,6/1/2015,,23,,,,,,,,6/3/2015,,24,,,,,,,,6/5/2015,,24,,,,,,,,6/7/2015,,24,,,,,,,,6/9/2015,,24,,,,,,,,6/11/2015,,25,,,,,,,,6/13/2015,,24,,,,,,,,6/15/2015,,24,,,,,,,,6/17/2015,,25,,,,,,,,6/19/2015,,24,,,,,,,,6/21/2015,,24,,,,,,,,6/23/2015,,24,,,,,,,,6/26/2015,,22,,,,,,,
EH(4),18,5/24/2015,,,,,,,,,,5/26/2015,,,,,,,,,dead,5/29/2015,,,,,,,,,,6/1/2015,,,,,,,,,,6/3/2015,,,,,,,,,,6/5/2015,,,,,,,,,,6/7/2015,,,,,,,,,,6/9/2015,,,,,,,,,,6/11/2015,,,,,,,,,,6/13/2015,,,,,,,,,,6/15/2015,,,,,,,,,,6/17/2015,,,,,,,,,,6/19/2015,,,,,,,,,,6/21/2015,,,,,,,,,,6/23/2015,,,,,,,,,,6/26/2015,,,,,,,,,
EH(4),19,5/24/2015,,19,,,,,,,,5/26/2015,,19,,,,,,,,5/29/2015,,19,,,,,,,,6/1/2015,,20,,,,,,,,6/3/2015,,23,,,,,,,,6/5/2015,,22,,,,,,,,6/7/2015,,21,,,,,,,,6/9/2015,,22,,,,,,,,6/11/2015,,21,,,,,,,,6/13/2015,,22,,,,,,,,6/15/2015,,21,,,,,,,,6/17/2015,,22,,,,,,,,6/19/2015,,20,,,,,,,,6/21/2015,,20,,,,,,,,6/23/2015,,21,,,,,,,,6/26/2015,,18,,,,,,,
EH(4),20,5/24/2015,,17,,,,,,,,5/26/2015,,17,,,,,,,,5/29/2015,,18,,,,,,,,6/1/2015,,16,,,,,,,,6/3/2015,,18,,,,,,,,6/5/2015,,18,,,,,,,,6/7/2015,,18,,,,,,,,6/9/2015,,19,,,,,,,,6/11/2015,,19,,,,,,,,6/13/2015,,18,,,,,,,,6/15/2015,,19,,,,,,,,6/17/2015,,19,,,,,,,,6/19/2015,,19,,,,,,,,6/21/2015,,19,,,,,,,,6/23/2015,,18,,,,,,,,6/26/2015,,18,,,,,,,
EH(4),21,5/24/2015,,17,,,,,,,,5/26/2015,,16,,,,,,,,5/29/2015,,16,,,,,,,,6/1/2015,,16,,,,,,,,6/3/2015,,16,,,,,,,,6/5/2015,,15,,,,,,,,6/7/2015,,15,,,,,,,,6/9/2015,,15,,,,,,,,6/11/2015,,16,,,,,,,,6/13/2015,,16,,,,,,,,6/15/2015,,16,,,,,,,,6/17/2015,,15,,,,,,,,6/19/2015,,15,,,,,,,,6/21/2015,,16,,,,,,,,6/23/2015,,15,,,,,,,,6/26/2015,,15,,,,,,,
EH(4),22,5/24/2015,,17,,,,,,,,5/26/2015,,18,,,,,,,,5/29/2015,,20,,,,,,,,6/1/2015,,19,,,,,,,,6/3/2015,,18,,,,,,,,6/5/2015,,20,,,,,,,,6/7/2015,,20,,,,,,,,6/9/2015,,19,,,,,,,,6/11/2015,,19,,,,,,,,6/13/2015,,20,,,,,,,,6/15/2015,,20,,,,,,,,6/17/2015,,20,,,,,,,,6/19/2015,,20,,,,,,,,6/21/2015,,20,,,,,,,,6/23/2015,,21,,,,,,,,6/26/2015,,19,,,,,,,
EC(3),1,5/24/2015,17,29,,1,,,,,,5/26/2015,15,31,1,,,,,,,5/29/2015,16,30,1,,,,,,,6/1/2015,,35,,,,,,,,6/3/2015,12,36,,1,,,,,,6/5/2015,11,41,1,,,,,,,6/7/2015,,43,,,,,,,,6/9/2015,10,42,,1,,,,,,6/11/2015,8,45,,1,,,,,,6/13/2015,,46,,,,,,,,6/15/2015,5,45,,1,,,,,,6/17/2015,4,43,,1,,,,,,6/19/2015,,45,,,,,,,,6/21/2015,,44,,,,,,,,6/23/2015,,44,,,,,,,,6/26/2015,,44,,,,,,,
EC(3),2,5/24/2015,,20,,,,,,,,5/26/2015,9,18,1,,,,,,,5/29/2015,8,20,1,,,,,,,6/1/2015,9,25,1,,,,,,,6/3/2015,9,28,,1,,,,,,6/5/2015,,30,,,,,,,,6/7/2015,,27,,,,,,,,6/9/2015,,32,,,,,,,,6/11/2015,4,31,,1,,,,,,6/13/2015,3,31,,1,,,,,,6/15/2015,,31,,,,,,,,6/17/2015,,33,,,,,,,,6/19/2015,,33,,,,,,,,6/21/2015,,31,,,,,,,,6/23/2015,,32,,,,,,,,6/26/2015,2,33,,1,,,,,
EC(3),3,5/24/2015,28,29,1,3,,,,,,5/26/2015,33,34,2,1,,,,,,5/29/2015,29,36,2,2,,,,,,6/1/2015,42,41,,4,1,,,,,6/3/2015,41,39,,4,1,,,,,6/5/2015,44,43,,2,1,,,,,6/7/2015,39,43,,4,1,,,,,6/9/2015,44,40,,2,1,,,,,6/11/2015,51,43,,1,1,,,,,6/13/2015,50,45,,1,1,,,,,6/15/2015,49,42,,2,,1,,,,6/17/2015,47,41,,2,,,,,,6/19/2015,44,40,,2,,,1,,,6/21/2015,42,39,,2,,,1,,,6/23/2015,39,39,,2,,,1,,,6/26/2015,35,41,,2,,,1,,
EC(3),4,5/24/2015,,26,,,,,,,,5/26/2015,,28,,,,,,,,5/29/2015,,27,,,,,,,,6/1/2015,,33,,,,,,,,6/3/2015,,33,,,,,,,,6/5/2015,,35,,,,,,,,6/7/2015,,36,,,,,,,,6/9/2015,,38,,,,,,,,6/11/2015,,38,,,,,,,,6/13/2015,,40,,,,,,,,6/15/2015,,37,,,,,,,,6/17/2015,,37,,,,,,,,6/19/2015,,38,,,,,,,,6/21/2015,,37,,,,,,,,6/23/2015,,37,,,,,,,,6/26/2015,,39,,,,,,,
EC(3),5,5/24/2015,,24,,,,,,,,5/26/2015,,24,,,,,,,,5/29/2015,,21,,,,,,,,6/1/2015,,32,,,,,,,,6/3/2015,,343,,,,,,,,6/5/2015,,36,,,,,,,,6/7/2015,,35,,,,,,,starting to brown,6/9/2015,,37,,,,,,,,6/11/2015,,37,,,,,,,,6/13/2015,,37,,,,,,,,6/15/2015,,37,,,,,,,,6/17/2015,,37,,,,,,,,6/19/2015,,37,,,,,,,,6/21/2015,,37,,,,,,,,6/23/2015,,37,,,,,,,,6/26/2015,,39,,,,,,,
EC(3),6,5/24/2015,,,,,,,,,,5/26/2015,,,,,,,,,dead,5/29/2015,,,,,,,,,,6/1/2015,,,,,,,,,,6/3/2015,,,,,,,,,,6/5/2015,,,,,,,,,,6/7/2015,,,,,,,,,,6/9/2015,,,,,,,,,,6/11/2015,,,,,,,,,,6/13/2015,,,,,,,,,,6/15/2015,,,,,,,,,,6/17/2015,,,,,,,,,,6/19/2015,,,,,,,,,,6/21/2015,,,,,,,,,,6/23/2015,,,,,,,,,,6/26/2015,,,,,,,,,
EC(3),7,5/24/2015,,20,,,,,,,,5/26/2015,,19,,,,,,,,5/29/2015,,21,,,,,,,,6/1/2015,,23,,,,,,,,6/3/2015,,26,,,,,,,,6/5/2015,,26,,,,,,,,6/7/2015,,27,,,,,,,,6/9/2015,,27,,,,,,,,6/11/2015,,26,,,,,,,,6/13/2015,,27,,,,,,,,6/15/2015,,26,,,,,,,,6/17/2015,,26,,,,,,,,6/19/2015,,26,,,,,,,,6/21/2015,,27,,,,,,,,6/23/2015,,27,,,,,,,,6/26/2015,,28,,,,,,,
EC(3),8,5/24/2015,20,27,1,,,,,,,5/26/2015,23,28,2,,,,,,,5/29/2015,22,30,2,,,,,,,6/1/2015,34,33,2,,,,,,,6/3/2015,37,35,1,1,,,,,,6/5/2015,42,33,,1,1,,,,,6/7/2015,40,33,,1,1,,,,,6/9/2015,48,36,,,1,,,,,6/11/2015,53,37,,,1,,,,,6/13/2015,55,37,,,1,,,,,6/15/2015,58,37,,,,1,,,,6/17/2015,58,36,,1,,1,,,,6/19/2015,59,37,,1,,1,,,,6/21/2015,61,38,,1,,,1,,,6/23/2015,61,37,,,,1,,,,6/26/2015,62,38,,1,,,1,,
EC(3),9,5/24/2015,,18,,,,,,,,5/26/2015,,18,,,,,,,,5/29/2015,,17,,,,,,,,6/1/2015,,20,,,,,,,,6/3/2015,,21,,,,,,,,6/5/2015,,22,,,,,,,,6/7/2015,,22,,,,,,,,6/9/2015,,23,,,,,,,,6/11/2015,,20,,,,,,,,6/13/2015,,25,,,,,,,,6/15/2015,,22,,,,,,,,6/17/2015,,21,,,,,,,,6/19/2015,,18,,,,,,,,6/21/2015,,18,,,,,,,,6/23/2015,,16,,,,,,,,6/26/2015,,12,,,,,,,starting to wilt and brown
EC(3),10,5/24/2015,,18,,,,,,,,5/26/2015,,16,,,,,,,,5/29/2015,,15,,,,,,,,6/1/2015,,17,,,,,,,,6/3/2015,,18,,,,,,,,6/5/2015,,20,,,,,,,,6/7/2015,,19,,,,,,,,6/9/2015,,20,,,,,,,,6/11/2015,,20,,,,,,,,6/13/2015,,20,,,,,,,,6/15/2015,,19,,,,,,,,6/17/2015,,20,,,,,,,,6/19/2015,,19,,,,,,,,6/21/2015,,19,,,,,,,,6/23/2015,,19,,,,,,,,6/26/2015,,18,,,,,,,
EC(3),11,5/24/2015,,20,,,,,,,,5/26/2015,,16,,,,,,,,5/29/2015,,12,,,,,,,,6/1/2015,,22,,,,,,,,6/3/2015,,22,,,,,,,,6/5/2015,,23,,,,,,,,6/7/2015,,23,,,,,,,,6/9/2015,,23,,,,,,,,6/11/2015,,23,,,,,,,,6/13/2015,,23,,,,,,,,6/15/2015,,22,,,,,,,,6/17/2015,,22,,,,,,,,6/19/2015,,21,,,,,,,,6/21/2015,,20,,,,,,,,6/23/2015,,20,,,,,,,,6/26/2015,,19,,,,,,,
EC(3),12,5/24/2015,,14,,,,,,,,5/26/2015,,14,,,,,,,,5/29/2015,,17,,,,,,,,6/1/2015,,18,,,,,,,,6/3/2015,,17,,,,,,,,6/5/2015,,20,,,,,,,,6/7/2015,,19,,,,,,,,6/9/2015,,20,,,,,,,,6/11/2015,,21,,,,,,,,6/13/2015,,21,,,,,,,,6/15/2015,,18,,,,,,,,6/17/2015,,18,,,,,,,,6/19/2015,,20,,,,,,,,6/21/2015,,20,,,,,,,,6/23/2015,,20,,,,,,,,6/26/2015,,19,,,,,,,
EC(3),13,5/24/2015,,10,,,,,,,,5/26/2015,,10,,,,,,,,5/29/2015,,11,,,,,,,,6/1/2015,,13,,,,,,,,6/3/2015,,13,,,,,,,,6/5/2015,,13,,,,,,,,6/7/2015,,13,,,,,,,,6/9/2015,,13,,,,,,,,6/11/2015,,13,,,,,,,,6/13/2015,,13,,,,,,,,6/15/2015,,13,,,,,,,,6/17/2015,,13,,,,,,,,6/19/2015,,13,,,,,,,1 dead leaf,6/21/2015,,13,,,,,,,,6/23/2015,,13,,,,,,,,6/26/2015,,13,,,,,,,
CC(6),1,5/24/2015,,33,,,,,,,,5/26/2015,,34,,,,,,,,5/29/2015,12,29,1,,,,,,,6/1/2015,11,39,,1,,,,,,6/3/2015,10,40,,1,,,,,leaf tips & edges are browning,6/5/2015,12,44,,1,,,,,still brown leaves,6/7/2015,12,43,,1,,,,,,6/9/2015,10,47,,1,,,,,,6/11/2015,10,47,,1,,,,,,6/13/2015,5,47,,1,,,,,,6/15/2015,4,41,,1,,,,,,6/17/2015,2,41,,1,,,,,,6/19/2015,3,42,,1,,,,,,6/21/2015,2,42,,1,,,,,,6/23/2015,2,37,,1,,,,,,6/26/2015,2,40,,1,,,,,
CC(6),2,5/24/2015,,22,,,,,,,,5/26/2015,,24,,,,,,,,5/29/2015,,27,,,,,,,,6/1/2015,,29,,,,,,,,6/3/2015,,31,,,,,,,,6/5/2015,,33,,,,,,,,6/7/2015,,34,,,,,,,,6/9/2015,,32,,,,,,,,6/11/2015,,31,,,,,,,,6/13/2015,,31,,,,,,,,6/15/2015,,30,,,,,,,,6/17/2015,,32,,,,,,,,6/19/2015,,33,,,,,,,,6/21/2015,,33,,,,,,,,6/23/2015,,32,,,,,,,,6/26/2015,,31,,,,,,,
CC(6),3,5/24/2015,,28,,,,,,,,5/26/2015,,24,,,,,,,,5/29/2015,,28,,,,,,,,6/1/2015,,29,,,,,,,,6/3/2015,,34,,,,,,,,6/5/2015,,34,,,,,,,,6/7/2015,,35,,,,,,,,6/9/2015,,36,,,,,,,,6/11/2015,,34,,,,,,,,6/13/2015,,36,,,,,,,,6/15/2015,,33,,,,,,,,6/17/2015,,35,,,,,,,,6/19/2015,,35,,,,,,,,6/21/2015,,35,,,,,,,,6/23/2015,,35,,,,,,,,6/26/2015,,33,,,,,,,
CC(6),4,5/24/2015,,22,,,,,,,,5/26/2015,,23,,,,,,,,5/29/2015,,25,,,,,,,,6/1/2015,,28,,,,,,,,6/3/2015,,30,,,,,,,,6/5/2015,,33,,,,,,,,6/7/2015,,34,,,,,,,,6/9/2015,,36,,,,,,,,6/11/2015,,34,,,,,,,,6/13/2015,,34,,,,,,,,6/15/2015,,34,,,,,,,,6/17/2015,,35,,,,,,,,6/19/2015,,33,,,,,,,,6/21/2015,,34,,,,,,,,6/23/2015,,34,,,,,,,,6/26/2015,,32,,,,,,,
CC(6),5,5/24/2015,,24,,,,,,,,5/26/2015,,26,,,,,,,,5/29/2015,,23,,,,,,,,6/1/2015,,32,,,,,,,,6/3/2015,,31,,,,,,,,6/5/2015,,36,,,,,,,,6/7/2015,,36,,,,,,,,6/9/2015,,39,,,,,,,,6/11/2015,,38,,,,,,,,6/13/2015,,39,,,,,,,,6/15/2015,,37,,,,,,,,6/17/2015,,38,,,,,,,,6/19/2015,,40,,,,,,,,6/21/2015,,38,,,,,,,,6/23/2015,,38,,,,,,,,6/26/2015,,39,,,,,,,
CC(6),6,5/24/2015,,25,,,,,,,,5/26/2015,,26,,,,,,,,5/29/2015,,26,,,,,,,,6/1/2015,,26,,,,,,,,6/3/2015,,29,,,,,,,,6/5/2015,,33,,,,,,,,6/7/2015,,32,,,,,,,,6/9/2015,,35,,,,,,,,6/11/2015,,31,,,,,,,,6/13/2015,,33,,,,,,,,6/15/2015,,33,,,,,,,,6/17/2015,,31,,,,,,,,6/19/2015,,33,,,,,,,,6/21/2015,,32,,,,,,,,6/23/2015,,32,,,,,,,,6/26/2015,,33,,,,,,,
CC(6),7,5/24/2015,,25,,,,,,,,5/26/2015,,28,,,,,,,,5/29/2015,,26,,,,,,,,6/1/2015,,34,,,,,,,,6/3/2015,,33,,,,,,,,6/5/2015,,35,,,,,,,,6/7/2015,,33,,,,,,,,6/9/2015,,37,,,,,,,,6/11/2015,,36,,,,,,,,6/13/2015,,36,,,,,,,,6/15/2015,,35,,,,,,,,6/17/2015,,35,,,,,,,,6/19/2015,,34,,,,,,,,6/21/2015,,34,,,,,,,,6/23/2015,,30,,,,,,,,6/26/2015,,34,,,,,,,
CC(6),8,5/24/2015,,20,,,,,,,,5/26/2015,,18,,,,,,,,5/29/2015,,21,,,,,,,,6/1/2015,,24,,,,,,,,6/3/2015,,23,,,,,,,,6/5/2015,,25,,,,,,,,6/7/2015,,25,,,,,,,,6/9/2015,,25,,,,,,,,6/11/2015,,26,,,,,,,,6/13/2015,,26,,,,,,,,6/15/2015,,26,,,,,,,,6/17/2015,,25,,,,,,,,6/19/2015,,26,,,,,,,,6/21/2015,,24,,,,,,,,6/23/2015,,24,,,,,,,,6/26/2015,,24,,,,,,,
CC(6),9,5/24/2015,31,31,12,,,,,,,5/26/2015,34,35,8,2,2,,,,,5/29/2015,36,34,10,,2,,,,,6/1/2015,40,39,4,,6,,,,,6/3/2015,43,40,2,1,8,,,,,6/5/2015,48,41,,1,10,,,,,6/7/2015,52,46,,1,10,,,,,6/9/2015,50,47,,1,9,,1,,,6/11/2015,53,44,,1,10,,,,,6/13/2015,60,48,,1,,7,3,,,6/15/2015,62,48,,1,,8,1,,,6/17/2015,62,48,,1,,4,6,,,6/19/2015,63,49,,1,,4,6,,,6/21/2015,63,46,,1,,,10,,,6/23/2015,62,48,,1,,1,9,,,6/26/2015,62,46,,1,,,10,,
CC(6),10,5/24/2015,24,33,1,,,,,,,5/26/2015,28,33,1,,,,,,,5/29/2015,31,37,1,,,,,,,6/1/2015,36,43,1,1,,,,,,6/3/2015,38,45,1,,,,,,,6/5/2015,42,47,,,1,,,,,6/7/2015,46,49,,1,1,,,,,6/9/2015,46,49,,1,1,,,,,6/11/2015,48,50,,,,1,,,,6/13/2015,50,49,,,,1,,,,6/15/2015,51,48,,,,,1,,,6/17/2015,50,50,,,,,1,,,6/19/2015,50,49,,,,,1,,,6/21/2015,50,49,,,,,1,,,6/23/2015,50,50,,,,,1,,,6/26/2015,50,50,,,,,1,,
CC(6),11,5/24/2015,,18,,,,,,,,5/26/2015,,18,,,,,,,,5/29/2015,,16,,,,,,,,6/1/2015,,19,,,,,,,,6/3/2015,,20,,,,,,,,6/5/2015,,20,,,,,,,,6/7/2015,,22,,,,,,,,6/9/2015,,21,,,,,,,,6/11/2015,,21,,,,,,,,6/13/2015,,21,,,,,,,,6/15/2015,,20,,,,,,,,6/17/2015,,21,,,,,,,,6/19/2015,,21,,,,,,,,6/21/2015,,21,,,,,,,,6/23/2015,,21,,,,,,,,6/26/2015,,21,,,,,,,
CC(6),12,5/24/2015,,23,,,,,,,,5/26/2015,,22,,,,,,,,5/29/2015,,25,,,,,,,,6/1/2015,,27,,,,,,,,6/3/2015,,28,,,,,,,,6/5/2015,,29,,,,,,,,6/7/2015,,29,,,,,,,,6/9/2015,,28,,,,,,,,6/11/2015,,28,,,,,,,,6/13/2015,,28,,,,,,,,6/15/2015,,26,,,,,,,,6/17/2015,,28,,,,,,,,6/19/2015,,28,,,,,,,,6/21/2015,,29,,,,,,,,6/23/2015,,28,,,,,,,,6/26/2015,,27,,,,,,,
CC(6),13,5/24/2015,,19,,,,,,,,5/26/2015,,19,,,,,,,,5/29/2015,,22,,,,,,,,6/1/2015,,27,,,,,,,,6/3/2015,,27,,,,,,,,6/5/2015,,27,,,,,,,,6/7/2015,,29,,,,,,,,6/9/2015,,27,,,,,,,,6/11/2015,,28,,,,,,,,6/13/2015,,27,,,,,,,,6/15/2015,,27,,,,,,,,6/17/2015,,27,,,,,,,,6/19/2015,,28,,,,,,,,6/21/2015,,28,,,,,,,,6/23/2015,,27,,,,,,,,6/26/2015,,24,,,,,,,
CC(6),14,5/24/2015,,22,,,,,,,,5/26/2015,,26,,,,,,,,5/29/2015,,22,,,,,,,,6/1/2015,,31,,,,,,,,6/3/2015,,32,,,,,,,,6/5/2015,,33,,,,,,,,6/7/2015,,33,,,,,,,,6/9/2015,,35,,,,,,,,6/11/2015,,33,,,,,,,,6/13/2015,,33,,,,,,,,6/15/2015,,32,,,,,,,,6/17/2015,,32,,,,,,,,6/19/2015,,31,,,,,,,,6/21/2015,,31,,,,,,,,6/23/2015,,29,,,,,,,,6/26/2015,,28,,,,,,,
CC(6),15,5/24/2015,,8,,,,,,,,5/26/2015,,9,,,,,,,,5/29/2015,,8,,,,,,,,6/1/2015,,10,,,,,,,,6/3/2015,,10,,,,,,,,6/5/2015,,10,,,,,,,,6/7/2015,,8,,,,,,,,6/9/2015,,8,,,,,,,,6/11/2015,,8,,,,,,,,6/13/2015,,9,,,,,,,,6/15/2015,,9,,,,,,,,6/17/2015,,9,,,,,,,,6/19/2015,,9,,,,,,,,6/21/2015,,10,,,,,,,,6/23/2015,,9,,,,,,,,6/26/2015,,10,,,,,,,
CC(6),16,5/24/2015,,17,,,,,,,,5/26/2015,,6,,,,,,,,5/29/2015,,8,,,,,,,,6/1/2015,,13,,,,,,,,6/3/2015,,12,,,,,,,,6/5/2015,,13,,,,,,,,6/7/2015,,13,,,,,,,,6/9/2015,,13,,,,,,,,6/11/2015,,13,,,,,,,,6/13/2015,,12,,,,,,,,6/15/2015,,13,,,,,,,,6/17/2015,,12,,,,,,,,6/19/2015,,13,,,,,,,,6/21/2015,,13,,,,,,,,6/23/2015,,12,,,,,,,,6/26/2015,,12,,,,,,,
CH(5),1,5/24/2015,,,,,,,,,removed from study,5/26/2015,,,,,,,,,,5/29/2015,,,,,,,,,,6/1/2015,,,,,,,,,,6/3/2015,,,,,,,,,,6/5/2015,,,,,,,,,,6/7/2015,,,,,,,,,,6/9/2015,,,,,,,,,,6/11/2015,,,,,,,,,,6/13/2015,,,,,,,,,,6/15/2015,,,,,,,,,,6/17/2015,,,,,,,,,,6/19/2015,,,,,,,,,,6/21/2015,,,,,,,,,,6/23/2015,,,,,,,,,,6/26/2015,,,,,,,,,
CH(5),2,5/24/2015,22,32,3,,,,,,,5/26/2015,33,35,3,,,,,,,5/29/2015,33,39,3,,,,,,,6/1/2015,42,43,2,,1,,,,,6/3/2015,44,44,,,3,,,,,6/5/2015,46,48,,,,,,,,6/7/2015,46,49,,,3,,,,,6/9/2015,53,52,,,3,,,,,6/11/2015,56,50,,,3,,,,,6/13/2015,60,51,,,,3,,,,6/15/2015,61,50,,,,3,,,,6/17/2015,62,51,,,,2,1,,,6/19/2015,64,51,,,,,3,,,6/21/2015,65,49,,,,,3,,,6/23/2015,66,52,,,,,3,,,6/26/2015,65,50,,,,,3,,
CH(5),3,5/24/2015,,25,,,,,,,,5/26/2015,,27,,,,,,,,5/29/2015,,33,,,,,,,,6/1/2015,,37,,,,,,,,6/3/2015,,37,,,,,,,,6/5/2015,,43,,,,,,,,6/7/2015,,44,,,,,,,,6/9/2015,,49,,,,,,,,6/11/2015,,46,,,,,,,,6/13/2015,,44,,,,,,,,6/15/2015,,43,,,,,,,,6/17/2015,,43,,,,,,,,6/19/2015,,45,,,,,,,,6/21/2015,,45,,,,,,,,6/23/2015,,44,,,,,,,,6/26/2015,,44,,,,,,,
CH(5),4,5/24/2015,6,25,1,,,,,,,5/26/2015,8,26,1,,,,,,,5/29/2015,6,27,1,,,,,,,6/1/2015,7,34,,,1,,,,Very short fully flowering on plant 4; Flower has almost no stem.,6/3/2015,9,32,,,1,,,,,6/5/2015,11,33,,,1,,,,,6/7/2015,11,31,,,1,,,,,6/9/2015,11,39,,,1,,,,,6/11/2015,12,42,,,1,,,,,6/13/2015,12,38,,,1,,,,,6/15/2015,11,36,,,1,,,,,6/17/2015,11,39,,,1,,,,,6/19/2015,11,38,,,,1,,,,6/21/2015,12,37,,,,1,,,,6/23/2015,9,40,,,,1,,,,6/26/2015,10,36,,,,1,,,
CH(5),5,5/24/2015,28,31,2,,,,,,,5/26/2015,,34,,,,,,,,5/29/2015,36,39,1,,,,,,,6/1/2015,39,36,1,,1,,,,,6/3/2015,42,40,1,,1,,,,,6/5/2015,45,42,1,,1,,,,,6/7/2015,48,42,1,,1,,,,,6/9/2015,53,49,1,,1,,,,,6/11/2015,55,47,,,2,,,,,6/13/2015,55,44,,,2,,,,,6/15/2015,59,46,,,2,,,,,6/17/2015,62,47,,,,2,,,,6/19/2015,60,45,,,,1,1,,,6/21/2015,61,45,,,,1,,,,6/23/2015,60,47,,,,,2,,,6/26/2015,62,40,,,,,2,,
