date,avg wind (mph),temp (?F),Humidity (%),Shade/ Sun,time (am),plot,treatment,Plant #,mm of tube filled,size tube (µL),BRIX,Volume (µL),notes
6/5/2016,0,10.1,77.2,Shade,8:00,EHSR1,,2,4,1,35,,
6/5/2016,,,,Shade,8:02,EHSR1,,2,3,1,38,,
6/5/2016,,,,Shade,8:04,EHSR1,,5,8,1,30,,
6/5/2016,0,9.3,85.8,Shade,8:06,EHSR1,,5,4,1,0,,
6/5/2016,0,9.6,85.3,Sun,8:11,ESR2,,2,4,1,22,,
6/5/2016,,,,Sun,8:13,ESR2,,2,11,1,38,,
6/5/2016,0,10.8,87.2,Sun,8:14,ESR2,,4,0,1,0,,
6/5/2016,,,,Sun,8:15,ESR2,,4,0,1,0,,
6/5/2016,,,,Sun,8:17,ESR2,,6,2,1,2,,
6/5/2016,,,,Sun,8:18,ESR2,,6,0,1,0,,
6/5/2016,0,10.6,82.5,Sun,8:22,EC3,,3,5,1,24,,
6/5/2016,,,,Sun,8:23,EC3,,3,0,1,0,,
6/5/2016,0,11.2,80.2,Sun,8:24,EC3,,1,5,1,22,,
6/5/2016,,,,Sun,8:27,EC3,,1,0,1,0,,
6/5/2016,0,11.0,81.8,Shade,8:28,EH4,,3,0,1,0,,
6/5/2016,,,,Shade,8:30,EH4,,3,8,1,35,,
6/5/2016,,,,Sun,8:31,EH4,,4,0,1,0,,
6/5/2016,,,,Sun,8:32,EH4,,4,0,1,0,,
6/5/2016,,,,Sun,8:34,EH4,,6,0,1,0,,
6/5/2016,,,,Sun,8:35,EH4,,6,1,1,17,,
6/5/2016,0,11.3,82.3,Shade,8:36,EH4,,8,0,1,0,,
6/5/2016,,,,Shade,8:37,EH4,,8,0,1,0,,
6/5/2016,,,,Sun,8:38,EH4,,9,11,1,19,,
6/5/2016,,,,Sun,,EH4,,9,0,1,0,,
6/5/2016,,,,Shade,8:44,CH5,,2,17,1,33,,
6/5/2016,,,,Shade,8:46,CH5,,2,11,1,>50,,
6/5/2016,,,,Shade,8:47,CH5,,3,6,1,26,,
6/5/2016,,,,Sun,8:49,CH5,,4,8,1,31,,
6/5/2016,0,13.8,71.2,Sun,8:51,CH5,,5,22,1,36,,
6/5/2016,,,,Sun,8:52,CH5,,7,4,1,16,,
6/5/2016,0,14.6,68.8,Sun,8:54,CH5,,6,0,1,0,,
6/5/2016,,,,Sun,8:56,CH5,,7,3,1,16,,
6/6/2016,0,12.3,67.3,Shade,7:03,CC6,,1,47,1,22,,
6/6/2016,,,,Shade,7:05,CC6,,1,25,1,15,,
6/6/2016,0,12.2,67.5,Shade,7:08,CC6,,1,0,1,0,,
6/6/2016,,,,Shade,7:11,CC6,,1,0,1,0,,
6/6/2016,,,,Shade,7:12,CC6,,10,27,1,36,,
6/6/2016,,,,Shade,7:13,CC6,,10,10,1,39,,
6/6/2016,0,12.8,66.2,Shade,7:14,CC6,,10,5,1,14,,
6/6/2016,,,,Shade,7:16,CC6,,10,14,1,39,,
6/6/2016,0,12.6,66.3,Shade,7:19,CSR7,,1,0,1,0,,
6/6/2016,,,,Shade,7:21,CSR7,,3,0,1,0,,
6/6/2016,0,12.6,66.4,Shade,7:22,CSR7,,5,4,1,18,,
6/6/2016,,,,Shade,7:23,CSR7,,6,0,1,0,,
6/6/2016,0,12.7,66.9,Shade,7:25,CSR7,,8,17,1,27,,
6/6/2016,,,,Shade,7:26,CSR7,,9,4,1,38,,
6/6/2016,,,,Shade,7:28,CSR7,,9,2,1,no reading,,
6/6/2016,,,,Shade,7:31,CSR7,,8,4,1,29,,
6/6/2016,0,12.9,65.6,Sun,7:33,CHSR8,,1,2,1,no reading,,
6/6/2016,,,,Sun,7:36,CHSR8,,2,6,1,34,,
6/6/2016,0,13.1,68.3,Sun,7:38,CHSR8,,4,0,1,0,,
6/6/2016,,,,Sun,7:38,CHSR8,,5,0,1,0,,
6/6/2016,0,13.1,67.0,Sun,7:40,CHSR8,,6,7,1,34,,
6/6/2016,,,,Sun,7:41,CHSR8,,1,0,1,0,,
6/6/2016,,13.2,68.2,Sun,7:43,CHSR8,,6,12,1,37,,
6/6/2016,,,,Sun,7:44,CHSR8,,2,12,1,42,,
6/6/2016,0,14.3,66.2,Shade,7:51,WHSR9,,1,0,1,0,,
6/6/2016,,,,Shade,7:52,WHSR9,,1,19,1,21,,
6/6/2016,0,14.7,68.5,Shade,7:53,WHSR9,,2,11,1,15,,
6/6/2016,,,,Shade,7:54,WHSR9,,2,13,1,18,,
6/6/2016,0,14.9,68.0,Shade,7:55,WHSR9,,4,0,1,0,,
6/6/2016,,,,Shade,7:56,WHSR9,,4,0,1,0,,
6/6/2016,0,15.1,66.6,Shade,7:58,WHSR9,,1,1,1,no reading,,
6/6/2016,,,,Shade,7:59,WHSR9,,2,13,1,17,,
6/6/2016,0,15.0,66.5,Sun,8:02,WSR10,,1,0,1,0,,
6/6/2016,,,,Sun,8:04,WSR10,,3,12,1,37,,
6/6/2016,0,14.5,64.4,Sun,8:05,WSR10,,7,4,1,27,,
6/6/2016,,,,Sun,8:07,WSR10,,1,6,1,16,,
6/6/2016,,,,Sun,8:08,WSR10,,3,18,1,25,,
6/6/2016,,,,Sun,8:09,WSR10,,7,13,1,25,,
6/6/2016,0,14.7,68.1,Sun,8:10,WSR10,,1,11,1,28,,aphids on flower
6/6/2016,,,,Sun,8:13,WSR10,,7,0,1,0,,
6/6/2016,0,14.7,68.0,Sun,8:15,WC11,,2,12,1,23,,
6/6/2016,,,,Sun,8:16,WC11,,2,11,1,30,,
6/6/2016,0,14.9,69.4,Sun,8:18,WC11,,2,0,1,0,,
6/6/2016,,,,Sun,8:18,WC11,,2,16,1,26,,
6/6/2016,0,15.3,70.4,Sun,8:20,WC11,,3,9,1,29,,
6/6/2016,,,,Sun,8:21,WC11,,3,11,1,31,,
6/6/2016,0,16.3,66.0,Sun,8:22,WC11,,3,4,1,15,,
6/6/2016,,,,Sun,8:23,WC11,,3,11,1,24,,
6/7/2016,0,9.1,74.9,Shade,7:01,EHSR1,,1,21,1,30,,
6/7/2016,,,,Shade,7:02,EHSR1,,2,0,1,0,,
6/7/2016,0,8.6,76.6,Shade,7:03,EHSR1,,5,4,1,25,,
6/7/2016,,,,Shade,7:05,EHSR1,,1,22,1,24,,
6/7/2016,0,8.7,77.1,Shade,7:06,EHSR1,,2,0,1,0,,
6/7/2016,,,,Shade,7:07,EHSR1,,5,8,1,22,,
6/7/2016,0,8.8,76.8,Shade,7:08,EHSR1,,1,12,1,22,,
6/7/2016,,,,Shade,7:10,EHSR1,,5,0,1,0,,
6/7/2016,0,8.8,75.0,Shade,7:13,ESR2,,2,0,1,0,,
6/7/2016,,,,Shade,7:14,ESR2,,4,0,1,0,,
6/7/2016,0,8.8,76.5,Shade,7:15,ESR2,,6,8,1,39,,
6/7/2016,,,,Shade,7:17,ESR2,,2,0,1,0,,
6/7/2016,0,9.1,73.7,Shade,7:18,ESR2,,4,0,1,0,,
6/7/2016,,,,Shade,7:19,ESR2,,6,6,1,39,,
6/7/2016,0,9.1,74.2,Shade,7:19,ESR2,,2,0,1,0,,
6/7/2016,,,,Shade,7:20,ESR2,,4,0,1,0,,
6/7/2016,0,9.4,70.5,Shade,7:22,EC3,,1,7,1,25,,
6/7/2016,,,,Shade,7:24,EC3,,3,4,1,20,,
6/7/2016,0,9.6,69.0,Shade,7:25,EC3,,1,0,1,0,,
6/7/2016,,,,Shade,7:26,EC3,,3,0,1,0,,
6/7/2016,,,,Shade,7:27,EC3,,1,8,1,28,,
6/7/2016,,,,Shade,7:28,EC3,,3,3,1,24,,
6/7/2016,0,9.8,69.4,Shade,7:29,EC3,,1,0,1,0,,
6/7/2016,,,,Shade,7:30,EC3,,3,11,1,20,,
6/7/2016,0,10.1,71.1,Shade,7:35,EH4,,3,5,1,42,,
6/7/2016,,,,Shade,7:36,EH4,,4,16,1,39,,
6/7/2016,0,9.8,72.4,Shade,7:37,EH4,,11,0,1,0,,flowers not large and not looking too healthy
6/7/2016,,,,Shade,7:38,EH4,,5,0,1,0,,flowers not large and not looking too healthy
6/7/2016,0,9.8,72.6,Shade,7:40,EH4,,6,0,1,0,,flowers not large and not looking too healthy
6/7/2016,,,,Shade,7:41,EH4,,8,8,1,33,,
6/7/2016,0,11.2,72.5,Shade,7:42,EH4,,7,7,1,48,,
6/7/2016,,,,Shade,7:43,EH4,,9,8,1,40,,
6/7/2016,0,11.2,70.3,Sun,7:51,CH5,,2,5,1,30,,sun just emerged
6/7/2016,,,,Sun,7:52,CH5,,3,10,1,28,,
6/7/2016,0,11.2,70.0,Sun,7:54,CH5,,4,1,1,no reading,,
6/7/2016,,,,Sun,7:55,CH5,,5,0,1,0,,
6/7/2016,0,11.1,70.1,Sun,7:56,CH5,,6,0,1,0,,
6/7/2016,,,,Sun,7:57,CH5,,7,0,1,0,,
6/7/2016,0,11.2,70.2,Sun,7:59,CH5,,2,5,1,32,,
6/7/2016,,,,Sun,7:59,CH5,,3,0,1,0,,
6/7/2016,0,11.0,71.9,Sun,8:02,CC6,,10,5,1,36,,
6/7/2016,,,,Sun,8:03,CC6,,1,14,1,24,,
6/7/2016,0,11.3,69.5,Sun,8:04,CC6,,9,0,1,0,,very small flowers
6/7/2016,,,,Sun,8:07,CC6,,1,3,1,32,,
6/7/2016,,,,Sun,8:08,CC6,,10,7,1,30,,
6/7/2016,,,,Sun,8:09,CC6,,1,4,1,29,,
6/7/2016,0,11.9,70.6,Sun,8:10,CC6,,10,7,1,30,,
6/7/2016,,,,Sun,8:12,CC6,,1,0,1,0,,
6/7/2016,0,12.2,70.7,Shade,8:15,CSR7,,6,1,1,no reading,,
6/7/2016,,,,Shade,8:16,CSR7,,5,3,1,26,,
6/7/2016,0,12.3,68.3,Shade,8:17,CSR7,,8,11,1,34,,
6/7/2016,,,,Shade,8:19,CSR7,,9,0,1,0,,
6/7/2016,0,12.4,67.1,Shade,8:20,CSR7,,1,0,1,0,,
6/7/2016,,,,Shade,8:21,CSR7,,3,8,1,30,,
6/7/2016,0,11.8,70.8,Shade,8:22,CSR7,,5,0,1,0,,
6/7/2016,,,,Shade,8:23,CSR7,,3,0,1,0,,
6/7/2016,0,12.6,66.1,Sun,8:25,CHSR8,,1,0,1,0,,
6/7/2016,,,,Sun,8:26,CHSR8,,2,0,1,0,,
6/7/2016,0,11.6,70.5,Sun,8:27,CHSR8,,4,3,1,39,,
6/7/2016,,,,Sun,8:28,CHSR8,,5,2,1,48,,
6/7/2016,0,11.6,71.2,Sun,8:30,CHSR8,,6,2,1,45,,
6/7/2016,0,11.6,71.2,Sun,8:32,CHSR8,,2,0,1,0,,
6/7/2016,0,11.6,74.3,Sun,8:33,CHSR8,,4,0,1,0,,
6/7/2016,,,,Sun,8:33,CHSR8,,5,1,1,no reading,,
6/7/2016,0,13.9,71.6,Sun,8:37,WHSR9,,1,0,1,0,,
6/7/2016,,,,Sun,8:38,WHSR9,,2,11,1,22,,
6/7/2016,0,14.4,65.8,Sun,8:39,WHSR9,,3,0,1,0,,
6/7/2016,,,,Sun,8:40,WHSR9,,4,0,1,0,,
6/7/2016,0,14.8,63.1,Sun,8:40,WHSR9,,1,0,1,0,,
6/7/2016,,,,Sun,8:42,WHSR9,,2,7,1,22,,
6/7/2016,0,15.1,62.7,Sun,8:42,WHSR9,,3,4,1,38,,
6/7/2016,,,,Sun,8:44,WHSR9,,4,1,1,no reading,,
6/7/2016,0,15.2,59.9,Sun,8:45,WSR10,,7,0,1,0,,
6/7/2016,,,,Sun,8:47,WSR10,,3,4,1,30,,
6/7/2016,,,,Sun,8:48,WSR10,,1,4,1,35,,
6/7/2016,,,,Sun,8:49,WSR10,,7,0,1,0,,
6/7/2016,0,16.1,61.1,Sun,8:50,WSR10,,3,3,1,42,,
6/7/2016,,,,Sun,8:51,WSR10,,1,2,1,41,,
6/7/2016,,,,Sun,8:53,WSR10,,3,7,1,49,,
6/7/2016,,,,Sun,8:54,WSR10,,1,6,1,28,,
6/8/2016,0,9.5,72.5,Shade,6:57,WC11,,3,11,1,26,,
6/8/2016,,,,Shade,7:00,WC11,,5,21,1,24,,
6/8/2016,0,8.0,82.1,Shade,7:00,WC11,,7,9,1,36,,
6/8/2016,,,,Shade,7:02,WC11,,3,4,1,16,,
6/8/2016,0,7.8,83.4,Shade,7:03,WC11,,5,5,1,2,,
6/8/2016,,,,Shade,7:05,WC11,,7,8,1,13,,
6/8/2016,0,7.8,85.1,Shade,7:07,WC11,,3,0,1,0,,
6/8/2016,,,,Shade,7:08,WC11,,5,8,1,3,,
6/8/2016,0,7.2,90.8,Shade,7:19,EHSR1,,1,30,1,16,,lots of dew
6/8/2016,,,,Shade,7:20,EHSR1,,2,10,1,22,,
6/8/2016,0,7.5,94.4,Shade,7:22,EHSR1,,5,6,1,17,,
6/8/2016,,,,Shade,7:23,EHSR1,,1,23,1,24,,
6/8/2016,,,,Shade,7:24,EHSR1,,2,0,1,0,,
6/8/2016,,,,Shade,7:25,EHSR1,,5,7,1,20,,
6/8/2016,0,7.8,94.7,Shade,7:26,EHSR1,,1,8,1,11,,
6/8/2016,,,,Shade,7:27,EHSR1,,2,5,1,17,,
6/8/2016,0,7.8,95.8,Shade,7:29,ESR2,,4,0,1,0,,"flowers don't have styles, have anthers"
6/8/2016,,,,Shade,7:32,ESR2,,6,15,1,29,,
6/8/2016,0,8.1,94.9,Shade,7:33,ESR2,,2,11,1,30,,
6/8/2016,,,,Shade,7:34,ESR2,,4,1,1,no reading,,plant may be senescing
6/8/2016,0,8.3,94.2,Shade,7:36,ESR2,,6,8,1,31,,
6/8/2016,,,,Shade,7:37,ESR2,,2,7,1,12,,
6/8/2016,0,8.3,94.8,Shade,7:38,ESR2,,6,0,1,0,,
6/8/2016,,,,Shade,7:40,ESR2,,2,18,1,29,,
6/8/2016,,,,Shade,7:41,EC3,,1,9,1,14,,
6/8/2016,,,,Shade,7:43,EC3,,3,2,1,35,,
6/8/2016,0,8.6,94.0,Shade,7:44,EC3,,1,4,1,30,,
6/8/2016,,,,Shade,7:45,EC3,,3,1,1,no reading,,
6/8/2016,0,8.6,94.2,Shade,7:46,EC3,,1,0,1,0,,
6/8/2016,,,,Shade,7:47,EC3,,3,18,1,11,,
6/8/2016,0,8.7,95.2,Shade,7:48,EC3,,1,8,1,37,,
6/8/2016,,,,Shade,7:49,EC3,,3,4,1,15,,
6/8/2016,,,,Shade,7:53,EH4,,3,6,1,17,,
6/8/2016,,,,Sun,7:54,EH4,,4,13,1,24,,
6/8/2016,0,9.3,98.0,Sun,7:55,EH4,,11,0,1,0,,
6/8/2016,,,,Sun,7:56,EH4,,5,2,1,8,,
6/8/2016,,,,Sun,7:57,EH4,,6,19,1,23,,
6/8/2016,,,,Sun,7:59,EH4,,8,20,1,29,,
6/8/2016,0,10.7,95.3,Sun,8:00,EH4,,7,13,1,30,,
6/8/2016,,,,Sun,8:01,EH4,,9,8,1,25,,
6/8/2016,0,13.8,70.8,Shade,8:08,CH5,,2,12,1,24,,
6/8/2016,,,,Shade,8:09,CH5,,3,6,1,19,,
6/8/2016,,,,Shade,8:11,CH5,,4,13,1,26,,
6/8/2016,,,,Sun,8:12,CH5,,5,20,1,25,,
6/8/2016,0,12.7,77.1,Sun,8:13,CH5,,7,0,1,0,,
6/8/2016,,,,Sun,8:14,CH5,,6,0,1,0,,
6/8/2016,0,13.3,77.7,Sun,8:15,CH5,,2,10,1,25,,
6/8/2016,,,,Sun,8:16,CH5,,3,5,1,26,,
6/8/2016,,13.3,77.1,Sun,8:19,CC6,,9,0,1,0,,
6/8/2016,,,,Sun,8:19,CC6,,7,10,1,22,,
6/8/2016,,,,Sun,8:20,CC6,,6,12,1,17,,
6/8/2016,,,,Sun,8:21,CC6,,7,6,1,18,,
6/8/2016,0,13.0,75.8,Sun,8:22,CC6,,6,18,1,17,,
6/8/2016,,,,Sun,8:23,CC6,,7,11,1,11,,
6/8/2016,0,12.9,79.4,Sun,8:25,CC6,,6,19,1,17,,
6/8/2016,,,,Sun,8:26,CC6,,7,29,1,17,,
6/8/2016,0,12.6,77.8,Shade,8:29,CSR7,,1,0,1,0,,
6/8/2016,,,,Shade,8:29,CSR7,,3,6,1,no reading,,interupted by people
6/8/2016,0,13.0,77.0,Shade,8:30,CSR7,,5,18,1,13,,
6/8/2016,,,,Shade,8:33,CSR7,,3,4,1,20,,
6/8/2016,,,,Shade,8:34,CSR7,,6,0,1,0,,
6/8/2016,0,12.8,77.1,Shade,8:35,CSR7,,8,6,1,20,,
6/8/2016,,,,Shade,8:36,CSR7,,9,0,1,0,,
6/8/2016,0,13.0,78.1,Sun,8:37,CSR7,,1,2,1,25,,
6/8/2016,,,,Sun,8:39,CSR7,,3,3,1,31,,
6/8/2016,,15.7,71.4,Sun,8:44,CHSR8,,1,6,1,no reading,,couldn't extract sample
6/8/2016,,,,Sun,8:45,CHSR8,,2,5,1,31,,
6/8/2016,,,,Sun,8:48,CHSR8,,1,5,1,34,,
6/8/2016,,,,Sun,8:49,CHSR8,,4,8,1,18,,
6/8/2016,0,14.6,70.7,Sun,8:49,CHSR8,,5,8,1,30,,
6/8/2016,,,,Sun,8:50,CHSR8,,6,0,1,0,,
6/8/2016,0,14.9,65.3,Sun,8:52,CHSR8,,1,4,1,23,,
6/8/2016,,,,Sun,8:54,CHSR8,,2,2,1,28,,
6/8/2016,0,15.7,68.9,Sun,8:57,CHSR8,,4,0,1,0,,
6/10/2016,0,8.1,67.1,Shade,7:00,WHSR9,,,,,,,"No nectar on any flowers, most balsmroot senescing"
6/16/2016,0,9.5,66.5,Shade,7:10,WHSR9,,2,3,1,44,,
6/16/2016,,,,Shade,7:14,WHSR9,,1,7,1,33,,
6/16/2016,0,10.1,62.3,Shade,7:17,WHSR9,,2,1,1,no reading,,
6/16/2016,,,,Shade,7:18,WHSR9,,1,16,1,24,,
6/16/2016,0,10.2,58.5,Shade,7:19,WHSR9,,2,0,1,0,,
6/16/2016,,,,Shade,7:20,WHSR9,,1,11,1,38,,
6/16/2016,0,10.6,64.0,Shade,7:22,WHSR9,,2,7,1,41,,
6/16/2016,,,,Shade,7:23,WHSR9,,1,0,1,0,,
6/16/2016,0,10.8,59.4,Shade,7:26,WC11,,1,0,1,0,,WSR10 no FF
6/16/2016,,,,Shade,7:27,WC11,,3,0,1,0,,
6/16/2016,0,10.9,53.9,Shade,7:32,EHSR1,,1,0,1,0,,
6/16/2016,,,,Shade,7:34,EHSR1,,1,0,1,0,,
6/16/2016,0,11.2,50.7,Shade,7:36,ESR2,,2,0,1,0,,
6/16/2016,,,,Shade,7:37,ESR2,,2,0,1,0,,
6/16/2016,0,10.8,54.3,Shade,7:41,EH4,,6,0,1,0,,EC3 no FF
6/16/2016,,,,Shade,7:41,EH4,,11,0,1,0,,
6/16/2016,0,11.9,58.2,Shade,7:51,CH5,,6,6,1,43,,
6/16/2016,,,,Shade,7:52,CH5,,6,0,1,0,,
6/16/2016,0,12.6,56.8,Shade,7:57,CSR7,,3,0,1,0,,CC6 no FF
6/16/2016,,,,Shade,7:58,CSR7,,9,0,1,0,,
6/16/2016,0,12.9,50.7,Shade,7:59,CSR7,,9,0,1,0,,
6/16/2016,,,,Shade,8:01,CHSR8,,4,0,1,0,,
6/16/2016,0,12.9,52.2,Shade,8:01,CHSR8,,5,0,1,0,,
6/16/2016,,,,Sun,8:02,CHSR8,,6,1,1,no reading,,
6/16/2016,0,14.1,46.6,Sun,8:03,CHSR8,,2,0,1,0,,
6/16/2016,,,,Sun,8:04,CHSR8,,4,1,1,no reading,,
6/16/2016,0,14.4,51.1,Sun,8:06,CHSR8,,6,0,1,0,,
6/16/2016,,,,Sun,8:08,CHSR8,,2,1,1,no reading,,
6/16/2016,,,,Sun,8:09,CHSR8,,5,0,1,0,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
